gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
919490556	1b412457-43cf-4a6f-b5c2-7acf01be5977	5714845	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Eupteleaceae	Euptelea	Euptelea pleiosperma		SPECIES	Euptelea pleiosperma Hook.f. & Thomson	CN		a2fa5b68-3ebf-4845-abc5-f456d251386f	25.670153	99.958012							1929-01-01T00:00:00Z			1929	3915937	3915937	PRESERVED_SPECIMEN	PE		e213734e-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		秦仁昌			2018-12-08T06:39:07.841Z		TAXON_MATCH_FUZZY;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
919490555	1b412457-43cf-4a6f-b5c2-7acf01be5977	5714885	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Eupteleaceae	Euptelea	Euptelea pleiosperma		SPECIES	Euptelea pleiosperma Hook.f. & Thomson	CN	白汊路	a2fa5b68-3ebf-4845-abc5-f456d251386f	27.740736	98.66582							1938-01-01T00:00:00Z			1938	3915937	3915937	PRESERVED_SPECIMEN	PE		e213653a-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		T.T.Yu			2018-12-08T06:39:07.917Z		TAXON_MATCH_FUZZY;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
919490554	1b412457-43cf-4a6f-b5c2-7acf01be5977	5714927	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Eupteleaceae	Euptelea	Euptelea pleiosperma		SPECIES	Euptelea pleiosperma Hook.f. & Thomson	CN		a2fa5b68-3ebf-4845-abc5-f456d251386f	27.177166	99.28717							1935-01-01T00:00:00Z			1935	3915937	3915937	PRESERVED_SPECIMEN	PE		e21356f1-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		王启无			2018-12-08T06:39:07.880Z		TAXON_MATCH_FUZZY;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
919490553	1b412457-43cf-4a6f-b5c2-7acf01be5977	5714875	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Eupteleaceae	Euptelea	Euptelea pleiosperma		SPECIES	Euptelea pleiosperma Hook.f. & Thomson	CN	北海路	a2fa5b68-3ebf-4845-abc5-f456d251386f	27.740736	98.66582							1940-01-01T00:00:00Z			1940	3915937	3915937	PRESERVED_SPECIMEN	PE		e21368be-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		K.M.Feng			2018-12-08T06:39:07.884Z		TAXON_MATCH_FUZZY;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
919490552	1b412457-43cf-4a6f-b5c2-7acf01be5977	5714931	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Eupteleaceae	Euptelea	Euptelea pleiosperma		SPECIES	Euptelea pleiosperma Hook.f. & Thomson	CN	叶枝	a2fa5b68-3ebf-4845-abc5-f456d251386f	27.177166	99.28717							1935-01-01T00:00:00Z			1935	3915937	3915937	PRESERVED_SPECIMEN	PE		e2135526-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		王启无			2018-12-08T06:39:07.855Z		TAXON_MATCH_FUZZY;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
919490551	1b412457-43cf-4a6f-b5c2-7acf01be5977	5714928	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Eupteleaceae	Euptelea	Euptelea pleiosperma		SPECIES	Euptelea pleiosperma Hook.f. & Thomson	CN	叶枝	a2fa5b68-3ebf-4845-abc5-f456d251386f	27.177166	99.28717							1935-01-01T00:00:00Z			1935	3915937	3915937	PRESERVED_SPECIMEN	PE		e2135680-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		王启无			2018-12-08T06:39:07.876Z		TAXON_MATCH_FUZZY;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
919490550	1b412457-43cf-4a6f-b5c2-7acf01be5977	5714844	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Eupteleaceae	Euptelea	Euptelea pleiosperma		SPECIES	Euptelea pleiosperma Hook.f. & Thomson	CN	潘家河	a2fa5b68-3ebf-4845-abc5-f456d251386f	25.670153	99.958012							1929-01-01T00:00:00Z			1929	3915937	3915937	PRESERVED_SPECIMEN	PE		e21372dd-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		秦仁昌			2018-12-08T06:39:07.863Z		TAXON_MATCH_FUZZY;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
919490549	1b412457-43cf-4a6f-b5c2-7acf01be5977	5714897	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Eupteleaceae	Euptelea	Euptelea pleiosperma		SPECIES	Euptelea pleiosperma Hook.f. & Thomson	CN		a2fa5b68-3ebf-4845-abc5-f456d251386f	27.177166	99.28717							1935-01-01T00:00:00Z			1935	3915937	3915937	PRESERVED_SPECIMEN	PE		e2136136-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		C.W.Wang			2018-12-08T06:39:07.881Z		TAXON_MATCH_FUZZY;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
919490548	1b412457-43cf-4a6f-b5c2-7acf01be5977	5714884	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Eupteleaceae	Euptelea	Euptelea pleiosperma		SPECIES	Euptelea pleiosperma Hook.f. & Thomson	CN	德拉	a2fa5b68-3ebf-4845-abc5-f456d251386f	27.740736	98.66582							1935-01-01T00:00:00Z			1935	3915937	3915937	PRESERVED_SPECIMEN	PE		e21365aa-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		C.W.Wang			2018-12-08T06:39:07.926Z		TAXON_MATCH_FUZZY;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
919490547	1b412457-43cf-4a6f-b5c2-7acf01be5977	5714889	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Eupteleaceae	Euptelea	Euptelea pleiosperma		SPECIES	Euptelea pleiosperma Hook.f. & Thomson	CN	西之后山	a2fa5b68-3ebf-4845-abc5-f456d251386f	27.177166	99.28717							1940-01-01T00:00:00Z			1940	3915937	3915937	PRESERVED_SPECIMEN	PE		e21363e7-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		K.M.Feng			2018-12-08T06:39:07.882Z		TAXON_MATCH_FUZZY;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
